audit_id,timestamp,audit_action,entity_type,entity_id,performed_by,description,previous_value,new_value,reason
AUDIT_73E5FAFB9B,2023-02-12 09:09:04,manual_override,alert,ALERT_BDE3EBE7F3,Sarah Chen,Manual decision: escalate,auto_flag,escalate,"Location check performed: San Antonio, TX. escalate"
AUDIT_2A97316226,2023-07-21 16:15:08,manual_override,alert,ALERT_CD4E086C4A,David Kim,Manual decision: escalate,auto_flag,escalate,"Location check performed: Caracas, Venezuela. escalate"
AUDIT_C2370C2D22,2024-01-06 10:24:06,manual_override,alert,ALERT_B2DB73A8C4,David Kim,Manual decision: escalate,auto_flag,escalate,"Location check performed: Lagos, Nigeria. escalate"
AUDIT_5FF0D79835,2022-04-17 17:36:27,manual_override,alert,ALERT_5298F2194E,Lisa Anderson,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Healthcare - escalate
AUDIT_30EA7AEC72,2025-11-07 15:22:59,manual_override,alert,ALERT_2DC80A0FCD,Maria Garcia,Manual decision: escalate,auto_flag,escalate,"Location check performed: Pyongyang, North Korea. escalate"
AUDIT_360B1545D4,2023-11-05 10:39:26,manual_override,alert,ALERT_67C3471620,Maria Garcia,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $1026.12 - escalate
AUDIT_0A6C190BAF,2022-10-17 11:03:54,manual_override,alert,ALERT_FBAB151F15,Maria Garcia,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Money Transfer - escalate
AUDIT_22C0562A1B,2025-05-02 12:43:46,manual_override,alert,ALERT_91731B09B4,David Kim,Manual decision: SAR_filed,auto_flag,SAR_filed,"Location check performed: Dallas, TX. SAR filed - Suspicious Activity Report filed with FinCEN"
AUDIT_B14989281B,2024-01-19 21:49:21,manual_override,alert,ALERT_C7B6968628,William Taylor,Manual decision: SAR_filed,auto_flag,SAR_filed,Reviewed transaction for Money Transfer - SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_071F631902,2024-07-17 16:50:56,manual_override,alert,ALERT_1A23B7A690,Robert Johnson,Manual decision: deny,auto_flag,deny,Risk score 0.958 reviewed. deny
AUDIT_2B035D4C95,2024-11-16 04:26:22,manual_override,alert,ALERT_96986D7A8D,Jessica Martinez,Manual decision: SAR_filed,auto_flag,SAR_filed,Reviewed transaction for ATM Withdrawal - SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_55E3903BB4,2022-10-16 14:39:38,manual_override,alert,ALERT_96F9A5ACD5,Jessica Martinez,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Gambling - escalate
AUDIT_991E887B7C,2025-02-17 07:30:10,manual_override,alert,ALERT_80E4B2BBFD,William Taylor,Manual decision: escalate,auto_flag,escalate,"Location check performed: Columbus, OH. escalate"
AUDIT_1E3D9B80B9,2023-10-30 09:36:34,manual_override,alert,ALERT_4BFB256F4C,William Taylor,Manual decision: SAR_filed,auto_flag,SAR_filed,Risk score 0.909 reviewed. SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_5171EE06FE,2024-07-19 20:52:19,manual_override,alert,ALERT_8B8E88F923,Robert Johnson,Manual decision: deny,auto_flag,deny,Risk score 0.865 reviewed. deny
AUDIT_2DC0AFE3FF,2022-10-15 16:19:15,manual_override,alert,ALERT_B4A3645DCF,Lisa Anderson,Manual decision: deny,auto_flag,deny,Risk score 0.726 reviewed. deny
AUDIT_E2092789D4,2024-02-11 13:19:56,manual_override,alert,ALERT_26D0F122C0,James Wilson,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Wire Transfer - escalate
AUDIT_4C17A4D0C9,2024-06-12 12:02:34,manual_override,alert,ALERT_386DC83688,Michael Rodriguez,Manual decision: escalate,auto_flag,escalate,Risk score 0.845 reviewed. escalate
AUDIT_97D7FBA13C,2023-11-08 06:54:57,manual_override,alert,ALERT_0269B6A5BE,Robert Johnson,Manual decision: deny,auto_flag,deny,"Location check performed: New York, NY. deny"
AUDIT_D6D9AD9D83,2022-07-31 21:59:37,manual_override,alert,ALERT_9BB3135B06,James Wilson,Manual decision: deny,auto_flag,deny,"Location check performed: New York, NY. deny"
AUDIT_A10F3797D1,2024-11-03 11:26:43,manual_override,alert,ALERT_DC36412C89,David Kim,Manual decision: deny,auto_flag,deny,Customer verification completed. Amount $10729.21 - deny
AUDIT_3DCD9C626B,2024-01-23 04:02:46,manual_override,alert,ALERT_E5571F4E96,Maria Garcia,Manual decision: deny,auto_flag,deny,"Location check performed: Lagos, Nigeria. deny"
AUDIT_A6A750BDA9,2023-10-23 08:39:26,manual_override,alert,ALERT_A6D77C2685,Robert Johnson,Manual decision: deny,auto_flag,deny,Reviewed transaction for Cryptocurrency - deny
AUDIT_1B8A84A926,2022-11-02 11:54:54,manual_override,alert,ALERT_3B7900DDC3,Michael Rodriguez,Manual decision: escalate,auto_flag,escalate,"Location check performed: Dallas, TX. escalate"
AUDIT_F381915431,2025-06-01 12:25:04,manual_override,alert,ALERT_3338A77C16,David Kim,Manual decision: deny,auto_flag,deny,Risk score 0.806 reviewed. deny
AUDIT_4D10CFA6BE,2022-01-22 20:44:34,manual_override,alert,ALERT_D4275A12F1,Lisa Anderson,Manual decision: deny,auto_flag,deny,Risk score 0.859 reviewed. deny
AUDIT_D6EE0571FC,2025-01-25 05:51:09,manual_override,alert,ALERT_AF9E8B0223,James Wilson,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $29319.57 - escalate
AUDIT_C995FC9724,2023-04-04 16:24:24,manual_override,alert,ALERT_11CC62E2FC,David Kim,Manual decision: deny,auto_flag,deny,Customer verification completed. Amount $12912.31 - deny
AUDIT_61EFFCEF5F,2023-01-08 15:58:54,manual_override,alert,ALERT_AED395DF1F,Maria Garcia,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Grocery - escalate
AUDIT_F1B7C92E32,2023-04-21 23:53:22,manual_override,alert,ALERT_511F665F66,Maria Garcia,Manual decision: deny,auto_flag,deny,"Location check performed: Jacksonville, FL. deny"
AUDIT_15FBA5CEE5,2022-07-12 16:47:33,manual_override,alert,ALERT_CC1E7B8329,James Wilson,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $25197.07 - escalate
AUDIT_73B2A39D32,2023-03-06 10:22:45,manual_override,alert,ALERT_FE033292CD,William Taylor,Manual decision: deny,auto_flag,deny,Risk score 0.762 reviewed. deny
AUDIT_7DE578A110,2023-04-25 03:06:26,manual_override,alert,ALERT_B6F47F2029,Sarah Chen,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Gambling - escalate
AUDIT_5513E51EED,2025-07-26 15:20:47,manual_override,alert,ALERT_0BD6D0EF1F,David Kim,Manual decision: escalate,auto_flag,escalate,Risk score 0.873 reviewed. escalate
AUDIT_8BBB3A541B,2025-09-25 07:47:43,manual_override,alert,ALERT_C84DEF51D8,Robert Johnson,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Foreign Transaction - escalate
AUDIT_D20651183A,2025-06-22 03:10:20,manual_override,alert,ALERT_1F16868B85,William Taylor,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Cryptocurrency - escalate
AUDIT_8A26A2654E,2022-09-30 13:03:23,manual_override,alert,ALERT_83A3DAD0FE,Robert Johnson,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $15306.13 - escalate
AUDIT_423EA6F89C,2024-09-30 01:52:59,manual_override,alert,ALERT_8005096C01,Emily Thompson,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $3255.59 - escalate
AUDIT_020C52A1A4,2022-07-18 02:54:16,manual_override,alert,ALERT_0A82A1115C,Emily Thompson,Manual decision: deny,auto_flag,deny,Customer verification completed. Amount $11958.41 - deny
AUDIT_4865A183DF,2022-09-20 23:30:20,manual_override,alert,ALERT_DD763D1510,Jessica Martinez,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $51205.39 - escalate
AUDIT_B88AB06F26,2024-09-27 20:48:02,manual_override,alert,ALERT_40A5923432,William Taylor,Manual decision: deny,auto_flag,deny,Customer verification completed. Amount $53598.61 - deny
AUDIT_8D83D27351,2022-07-07 02:40:10,manual_override,alert,ALERT_F9EF4CB2AE,Emily Thompson,Manual decision: deny,auto_flag,deny,"Location check performed: Indianapolis, IN. deny"
AUDIT_54BCD5A126,2022-08-22 15:24:18,manual_override,alert,ALERT_3173EC40F2,Lisa Anderson,Manual decision: deny,auto_flag,deny,Customer verification completed. Amount $16896.30 - deny
AUDIT_9C5463A4E7,2025-09-23 04:57:53,manual_override,alert,ALERT_19FD574FFC,Maria Garcia,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $82915.13 - escalate
AUDIT_47FDC5B75D,2023-01-04 02:10:38,manual_override,alert,ALERT_4AA64FB4C6,Maria Garcia,Manual decision: deny,auto_flag,deny,Risk score 1.000 reviewed. deny
AUDIT_25DAF390D6,2023-07-15 14:15:52,manual_override,alert,ALERT_706BF7ABE7,Maria Garcia,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $32601.35 - escalate
AUDIT_7C5D7DCD19,2025-06-20 05:57:48,manual_override,alert,ALERT_E1C1D3CD88,Maria Garcia,Manual decision: deny,auto_flag,deny,Customer verification completed. Amount $26154.16 - deny
AUDIT_278BF5A180,2025-02-17 23:13:13,manual_override,alert,ALERT_C1E9BED0F2,William Taylor,Manual decision: deny,auto_flag,deny,Customer verification completed. Amount $24218.51 - deny
AUDIT_AFDE20F1D9,2024-08-03 13:02:16,manual_override,alert,ALERT_13A4C6581F,Jessica Martinez,Manual decision: escalate,auto_flag,escalate,"Location check performed: Columbus, OH. escalate"
AUDIT_43F9F801BB,2024-08-23 21:15:25,manual_override,alert,ALERT_49245A39B8,James Wilson,Manual decision: deny,auto_flag,deny,Reviewed transaction for Wire Transfer - deny
AUDIT_71D1DC8EF8,2022-09-27 07:35:12,manual_override,alert,ALERT_EEC986FB78,Sarah Chen,Manual decision: escalate,auto_flag,escalate,"Location check performed: Tehran, Iran. escalate"
AUDIT_9AC09E8B48,2023-06-01 05:46:22,manual_override,alert,ALERT_58760982A0,Robert Johnson,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Money Transfer - escalate
AUDIT_8AF720A1A6,2025-11-01 15:08:59,manual_override,alert,ALERT_644BE85602,Sarah Chen,Manual decision: deny,auto_flag,deny,Customer verification completed. Amount $70361.66 - deny
AUDIT_07C5C8875A,2023-02-25 20:38:31,manual_override,alert,ALERT_A9ADDF5496,Jessica Martinez,Manual decision: deny,auto_flag,deny,Reviewed transaction for Cryptocurrency - deny
AUDIT_2164124EA2,2025-09-25 11:33:55,manual_override,alert,ALERT_9B4C5B8549,Jessica Martinez,Manual decision: SAR_filed,auto_flag,SAR_filed,Customer verification completed. Amount $3899.77 - SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_339E331A96,2024-06-23 12:41:05,manual_override,alert,ALERT_1054656794,Lisa Anderson,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Money Transfer - escalate
AUDIT_1559E1BF50,2023-05-28 02:13:21,manual_override,alert,ALERT_7E4F8BB859,David Kim,Manual decision: SAR_filed,auto_flag,SAR_filed,Reviewed transaction for Money Transfer - SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_33EA6C91C3,2022-09-09 05:04:17,manual_override,alert,ALERT_B478472447,Lisa Anderson,Manual decision: SAR_filed,auto_flag,SAR_filed,Reviewed transaction for Wire Transfer - SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_222D36BF36,2025-11-06 16:33:25,manual_override,alert,ALERT_534F4D2185,Michael Rodriguez,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $13056.48 - escalate
AUDIT_B5F333EB0A,2023-11-13 23:51:01,manual_override,alert,ALERT_97BD58BBDE,David Kim,Manual decision: deny,auto_flag,deny,Reviewed transaction for Healthcare - deny
AUDIT_97FF3BFB98,2024-04-25 00:36:38,manual_override,alert,ALERT_7D7AF67F12,William Taylor,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Money Transfer - escalate
AUDIT_8B8AA942ED,2023-07-06 20:07:19,manual_override,alert,ALERT_48BFDF80ED,William Taylor,Manual decision: escalate,auto_flag,escalate,"Location check performed: Philadelphia, PA. escalate"
AUDIT_61E1CA2A23,2022-11-02 09:56:21,manual_override,alert,ALERT_032F828D7A,Robert Johnson,Manual decision: escalate,auto_flag,escalate,Risk score 0.620 reviewed. escalate
AUDIT_F6CA783B61,2022-01-05 02:07:09,manual_override,alert,ALERT_FECE6EA492,Jessica Martinez,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $4640.24 - escalate
AUDIT_DE1892133E,2025-02-10 23:41:35,manual_override,alert,ALERT_2B0BE48BDC,Lisa Anderson,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $10666.45 - escalate
AUDIT_7BE286E1FF,2025-09-24 07:51:54,manual_override,alert,ALERT_9296E75DD2,Sarah Chen,Manual decision: deny,auto_flag,deny,Reviewed transaction for Cryptocurrency - deny
AUDIT_E62E97E6E5,2023-01-20 06:17:11,manual_override,alert,ALERT_3896F3220B,Emily Thompson,Manual decision: escalate,auto_flag,escalate,"Location check performed: Indianapolis, IN. escalate"
AUDIT_ECCF4E9482,2023-06-09 09:53:57,manual_override,alert,ALERT_D1BFC4BD0F,Sarah Chen,Manual decision: deny,auto_flag,deny,Customer verification completed. Amount $916.30 - deny
AUDIT_2433559B6F,2024-11-28 22:41:55,manual_override,alert,ALERT_EA9BDB0424,Emily Thompson,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Utilities - escalate
AUDIT_128B06C8D9,2025-09-06 06:26:37,manual_override,alert,ALERT_06B9406819,Lisa Anderson,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Insurance - escalate
AUDIT_D83B1C0AF7,2025-01-14 00:58:42,manual_override,alert,ALERT_1E22AFAAA6,Maria Garcia,Manual decision: escalate,auto_flag,escalate,Risk score 1.000 reviewed. escalate
AUDIT_ED17F0876F,2022-09-18 12:26:36,manual_override,alert,ALERT_33AEE9C7DE,Robert Johnson,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Wire Transfer - escalate
AUDIT_734A144C9D,2025-06-13 15:08:20,manual_override,alert,ALERT_BAA0F5DEC6,Jessica Martinez,Manual decision: SAR_filed,auto_flag,SAR_filed,Reviewed transaction for Cryptocurrency - SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_704DCE06AA,2025-07-09 02:56:43,manual_override,alert,ALERT_8476AE86E0,Emily Thompson,Manual decision: SAR_filed,auto_flag,SAR_filed,"Location check performed: San Francisco, CA. SAR filed - Suspicious Activity Report filed with FinCEN"
AUDIT_5A5C2F06B3,2023-03-22 13:26:36,manual_override,alert,ALERT_6A18DC8EA3,Michael Rodriguez,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $46927.14 - escalate
AUDIT_EC8A54E84A,2025-01-26 18:59:31,manual_override,alert,ALERT_49B880B972,Sarah Chen,Manual decision: deny,auto_flag,deny,"Location check performed: Dallas, TX. deny"
AUDIT_57E0F904F2,2022-02-04 12:55:34,manual_override,alert,ALERT_3E8E73AC1A,Sarah Chen,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $437.71 - escalate
AUDIT_8A169F0DD8,2022-11-19 05:31:53,manual_override,alert,ALERT_3A79FDC6E1,William Taylor,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Wire Transfer - escalate
AUDIT_3A1F6D5F62,2024-01-15 06:27:57,manual_override,alert,ALERT_DFF3B2AF1A,Maria Garcia,Manual decision: escalate,auto_flag,escalate,"Location check performed: Dallas, TX. escalate"
AUDIT_C5D6CF278E,2025-04-21 08:25:12,manual_override,alert,ALERT_1EEBFAF38B,Sarah Chen,Manual decision: deny,auto_flag,deny,Reviewed transaction for Money Transfer - deny
AUDIT_FF41BDEA0C,2022-04-23 14:17:26,manual_override,alert,ALERT_370C114F30,Sarah Chen,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $55053.36 - escalate
AUDIT_A006074DE8,2025-02-26 13:48:20,manual_override,alert,ALERT_A1939003D4,Sarah Chen,Manual decision: deny,auto_flag,deny,Reviewed transaction for Entertainment - deny
AUDIT_B2F9B10A03,2023-03-13 11:30:57,manual_override,alert,ALERT_AF4AC4AC94,Maria Garcia,Manual decision: escalate,auto_flag,escalate,Risk score 0.759 reviewed. escalate
AUDIT_A4225AB92D,2023-01-30 06:25:57,manual_override,alert,ALERT_6CEC5C6D88,Michael Rodriguez,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Wire Transfer - escalate
AUDIT_F4C1FFD8CC,2025-01-31 11:20:20,manual_override,alert,ALERT_F92590C2D0,James Wilson,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $44146.10 - escalate
AUDIT_A56943B719,2022-03-24 11:42:55,manual_override,alert,ALERT_46AD2A4D1E,Jessica Martinez,Manual decision: SAR_filed,auto_flag,SAR_filed,Risk score 0.961 reviewed. SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_C65F97DA6E,2023-10-04 08:38:15,manual_override,alert,ALERT_062FA4CEF3,Sarah Chen,Manual decision: escalate,auto_flag,escalate,"Location check performed: Houston, TX. escalate"
AUDIT_1EAED9C7EE,2023-10-15 23:52:18,manual_override,alert,ALERT_641720F162,Sarah Chen,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Entertainment - escalate
AUDIT_F658A86910,2022-07-01 06:54:52,manual_override,alert,ALERT_9AA02CB7E6,William Taylor,Manual decision: deny,auto_flag,deny,Reviewed transaction for Wire Transfer - deny
AUDIT_832F4CC4EA,2022-03-31 05:57:34,manual_override,alert,ALERT_33ECF2007A,Lisa Anderson,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Restaurant - escalate
AUDIT_C23F9E7683,2024-09-13 00:54:14,manual_override,alert,ALERT_48F4A82979,James Wilson,Manual decision: deny,auto_flag,deny,Customer verification completed. Amount $59871.52 - deny
AUDIT_136C759D60,2024-11-20 22:06:28,manual_override,alert,ALERT_CA2C1D2230,William Taylor,Manual decision: deny,auto_flag,deny,"Location check performed: New York, NY. deny"
AUDIT_E3FE34B105,2022-01-30 09:27:03,manual_override,alert,ALERT_34CB30E72B,Emily Thompson,Manual decision: deny,auto_flag,deny,"Location check performed: Houston, TX. deny"
AUDIT_A042BC5CCC,2023-12-11 10:14:53,manual_override,alert,ALERT_6CC7D352A6,Emily Thompson,Manual decision: deny,auto_flag,deny,Reviewed transaction for Gambling - deny
AUDIT_09CF513C86,2024-05-29 11:42:01,manual_override,alert,ALERT_8D5901CD47,William Taylor,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $937.54 - escalate
AUDIT_CDC61F4D15,2024-06-14 01:53:16,manual_override,alert,ALERT_DD1F4E7B01,Jessica Martinez,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $90250.82 - escalate
AUDIT_F454E35B23,2023-10-16 03:33:02,manual_override,alert,ALERT_6F52F87299,Michael Rodriguez,Manual decision: SAR_filed,auto_flag,SAR_filed,Customer verification completed. Amount $58977.01 - SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_6D6C87C4AD,2022-04-21 13:49:47,manual_override,alert,ALERT_B2892AC6E9,Robert Johnson,Manual decision: deny,auto_flag,deny,"Location check performed: Beijing, China. deny"
AUDIT_140EEA6EC3,2023-08-03 01:23:56,manual_override,alert,ALERT_BE6D6FD44B,David Kim,Manual decision: deny,auto_flag,deny,Risk score 1.000 reviewed. deny
AUDIT_F60A1DEE29,2024-10-25 07:54:34,manual_override,alert,ALERT_736095CE58,Robert Johnson,Manual decision: deny,auto_flag,deny,Reviewed transaction for Jewelry - deny
AUDIT_E583E7D32C,2023-06-20 11:07:51,manual_override,alert,ALERT_6F5E520220,Robert Johnson,Manual decision: deny,auto_flag,deny,Customer verification completed. Amount $69348.06 - deny
AUDIT_5C992FFEC3,2025-02-19 13:05:38,manual_override,alert,ALERT_804D09A8D1,Michael Rodriguez,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $15260.05 - escalate
AUDIT_4A9D5F34E8,2023-07-30 20:35:24,manual_override,alert,ALERT_63E7EE98B2,Sarah Chen,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Gambling - escalate
AUDIT_19078CC552,2022-08-30 15:48:45,manual_override,alert,ALERT_498D48F55D,William Taylor,Manual decision: SAR_filed,auto_flag,SAR_filed,Reviewed transaction for Money Transfer - SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_46241A2950,2023-06-04 13:16:43,manual_override,alert,ALERT_C24C7D8E13,Michael Rodriguez,Manual decision: escalate,auto_flag,escalate,Risk score 0.763 reviewed. escalate
AUDIT_E93B77C3EE,2023-08-18 22:57:16,manual_override,alert,ALERT_FEEB147651,William Taylor,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $66993.96 - escalate
AUDIT_96531AE4FD,2023-08-10 23:04:06,manual_override,alert,ALERT_B8894F8DBD,Michael Rodriguez,Manual decision: escalate,auto_flag,escalate,Risk score 0.693 reviewed. escalate
AUDIT_3E6AD7101E,2025-04-12 05:11:59,manual_override,alert,ALERT_05CD41B598,Michael Rodriguez,Manual decision: deny,auto_flag,deny,"Location check performed: Jacksonville, FL. deny"
AUDIT_42EB53A38B,2022-11-28 16:02:54,manual_override,alert,ALERT_8D2C10A75B,Maria Garcia,Manual decision: escalate,auto_flag,escalate,"Location check performed: Pyongyang, North Korea. escalate"
AUDIT_465E1C9525,2024-05-20 06:38:13,manual_override,alert,ALERT_DE66805E51,William Taylor,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $18817.85 - escalate
AUDIT_80443E02E3,2023-01-16 01:15:07,manual_override,alert,ALERT_535D2575A7,Emily Thompson,Manual decision: deny,auto_flag,deny,Risk score 0.971 reviewed. deny
AUDIT_0831390B98,2023-08-19 15:42:49,manual_override,alert,ALERT_7DE56A760D,James Wilson,Manual decision: escalate,auto_flag,escalate,Risk score 1.000 reviewed. escalate
AUDIT_4C9E44CC4F,2022-04-21 13:58:09,manual_override,alert,ALERT_11A28F1CFA,William Taylor,Manual decision: escalate,auto_flag,escalate,"Location check performed: Fort Worth, TX. escalate"
AUDIT_B1738CCCDA,2022-01-08 23:49:00,manual_override,alert,ALERT_5C70A49E9D,Jessica Martinez,Manual decision: deny,auto_flag,deny,Reviewed transaction for Cryptocurrency - deny
AUDIT_0455DC69A6,2023-11-25 10:24:14,manual_override,alert,ALERT_2A636A0224,Lisa Anderson,Manual decision: escalate,auto_flag,escalate,Customer verification completed. Amount $43145.31 - escalate
AUDIT_613D29E86D,2022-09-16 06:36:29,manual_override,alert,ALERT_12DBC09CFD,Maria Garcia,Manual decision: deny,auto_flag,deny,Customer verification completed. Amount $55566.51 - deny
AUDIT_ED9B08D8A0,2025-04-16 13:52:24,manual_override,alert,ALERT_4F1A167A88,Michael Rodriguez,Manual decision: SAR_filed,auto_flag,SAR_filed,Customer verification completed. Amount $807.50 - SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_5C682CA441,2023-05-07 15:27:23,manual_override,alert,ALERT_FB393036A5,Michael Rodriguez,Manual decision: escalate,auto_flag,escalate,"Location check performed: Chicago, IL. escalate"
AUDIT_005525487F,2025-06-27 10:07:56,manual_override,alert,ALERT_51EAD9A440,Maria Garcia,Manual decision: SAR_filed,auto_flag,SAR_filed,Risk score 0.871 reviewed. SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_319B653802,2024-11-02 07:44:43,manual_override,alert,ALERT_C6BE7C8899,Emily Thompson,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Cryptocurrency - escalate
AUDIT_3882833E8B,2024-12-17 14:25:30,manual_override,alert,ALERT_F20FE2A630,Jessica Martinez,Manual decision: deny,auto_flag,deny,Customer verification completed. Amount $70501.80 - deny
AUDIT_C5199AC532,2024-08-18 02:16:35,manual_override,alert,ALERT_115884D12B,David Kim,Manual decision: deny,auto_flag,deny,Risk score 1.000 reviewed. deny
AUDIT_5EBF8B0F20,2022-02-07 16:40:31,manual_override,alert,ALERT_9D188A99F1,Maria Garcia,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for ATM Withdrawal - escalate
AUDIT_53ECA9D82C,2024-01-03 22:57:42,manual_override,alert,ALERT_46D5655CAB,Robert Johnson,Manual decision: SAR_filed,auto_flag,SAR_filed,"Location check performed: Boston, MA. SAR filed - Suspicious Activity Report filed with FinCEN"
AUDIT_EF74F98438,2025-04-25 00:05:39,manual_override,alert,ALERT_5BC56A4B13,Sarah Chen,Manual decision: deny,auto_flag,deny,Risk score 0.956 reviewed. deny
AUDIT_AA69005661,2023-07-22 11:51:02,manual_override,alert,ALERT_81586441EF,Robert Johnson,Manual decision: escalate,auto_flag,escalate,"Location check performed: Houston, TX. escalate"
AUDIT_CD6D63E620,2024-01-11 17:12:39,manual_override,alert,ALERT_6D5D49959F,Michael Rodriguez,Manual decision: deny,auto_flag,deny,"Location check performed: San Antonio, TX. deny"
AUDIT_3A72DB4A09,2023-02-20 00:25:32,manual_override,alert,ALERT_6415C890F2,William Taylor,Manual decision: escalate,auto_flag,escalate,Risk score 0.720 reviewed. escalate
AUDIT_8CFD877C3C,2022-01-28 00:07:57,manual_override,alert,ALERT_16F63CCD87,Robert Johnson,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Cryptocurrency - escalate
AUDIT_56739137E1,2022-01-05 21:32:36,manual_override,alert,ALERT_BC42FD0A4E,James Wilson,Manual decision: deny,auto_flag,deny,Customer verification completed. Amount $45455.14 - deny
AUDIT_AFA652DFBB,2025-03-30 12:32:08,manual_override,alert,ALERT_95D7085422,Michael Rodriguez,Manual decision: deny,auto_flag,deny,"Location check performed: San Jose, CA. deny"
AUDIT_951F81E6A0,2024-03-21 05:25:57,manual_override,alert,ALERT_0C7E640144,William Taylor,Manual decision: SAR_filed,auto_flag,SAR_filed,Reviewed transaction for Electronics - SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_77B754E7CC,2022-07-28 08:12:17,manual_override,alert,ALERT_7D19B43C52,James Wilson,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Cryptocurrency - escalate
AUDIT_2CA60AEC1B,2023-10-13 21:44:13,manual_override,alert,ALERT_28BF5995D3,Lisa Anderson,Manual decision: escalate,auto_flag,escalate,"Location check performed: Boston, MA. escalate"
AUDIT_72106E290A,2023-05-03 01:55:58,manual_override,alert,ALERT_7957B6C4FF,Michael Rodriguez,Manual decision: SAR_filed,auto_flag,SAR_filed,Reviewed transaction for Money Transfer - SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_306D5D069F,2025-05-06 07:20:58,manual_override,alert,ALERT_D247E21185,Michael Rodriguez,Manual decision: SAR_filed,auto_flag,SAR_filed,Risk score 1.000 reviewed. SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_5BF090BA40,2024-11-11 14:24:07,manual_override,alert,ALERT_324EC9AF20,Emily Thompson,Manual decision: escalate,auto_flag,escalate,Reviewed transaction for Money Transfer - escalate
AUDIT_AA3C0E9804,2024-08-03 00:16:13,manual_override,alert,ALERT_37AE9F8135,Robert Johnson,Manual decision: SAR_filed,auto_flag,SAR_filed,Risk score 1.000 reviewed. SAR filed - Suspicious Activity Report filed with FinCEN
AUDIT_A938DC2212,2023-12-20 12:56:43,manual_override,alert,ALERT_79A7FFD74D,James Wilson,Manual decision: escalate,auto_flag,escalate,"Location check performed: Beijing, China. escalate"
AUDIT_2B97C3F952,2023-03-22 09:48:40,manual_override,alert,ALERT_B2A4A59C54,David Kim,Manual decision: deny,auto_flag,deny,Customer verification completed. Amount $73033.17 - deny
